hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
ff977dc3365d472d50c2379817ccf993;1;1;1;1;1;1;1;1;1;1;10;1;1
d329b48d129437a565eba6d333f3fda6;0;0;1;0;1;0;1;1;1;0;5;1;1
6a9d67850b1e7768e65877a1aae6ffc6;1;1;1;1;1;1;1;1;1;1;10;1;1
ff3441eb0116d4bb3468e16e52c378d3;1;1;1;1;1;1;1;1;1;1;10;1;1
aee2253fa103334f0ef95c438b073984;1;1;1;1;1;1;1;1;1;1;10;1;1
83c0646c38b6a0fda764fae7e9e78f91;0;0;0;0;0;1;0;0;0;0;1;1;1
f635d6dbb86f7d946250514c9ccb7db0;1;1;1;1;1;1;1;1;1;1;10;1;1
59bc64b2f37dbd40c4e29edb0b029ced;1;1;1;1;1;1;1;1;1;1;10;1;1
187859b85ea4d6b6c81adfae4e9f2f4f;1;1;1;1;1;1;1;1;0;1;9;1;1
f6a37a601cae202f5387d82bf2d12aad;1;1;1;1;1;1;1;1;1;1;10;1;1
609f01d4fed4e43158a04d4d6b273514;1;1;1;1;1;1;1;1;1;1;10;1;1
08f803140ee607a12b15dca97df5864f;1;1;1;0;1;0;1;1;0;0;6;1;1
d5b217cff72c79416299b6e7258cb905;1;1;1;1;1;1;1;1;1;1;10;1;1
85ab3d51b6eff203312f462c3fbf9949;1;1;1;1;1;1;1;1;1;1;10;1;1
63ae29ac0a6b9f29fc1567ecf244db7d;1;1;1;1;1;1;1;1;1;1;10;1;1
6b9f01f1e2f9eedee84ab8f7a82e6500;1;1;1;1;1;1;1;1;1;0;9;1;1
9df5372098bd9568602c4cfd7ea629ba;1;1;1;1;1;0;1;1;1;0;8;1;1
a68d7ef7d44edf826241b6692a08daa9;1;1;1;1;1;1;1;1;1;1;10;1;1
bda1e39d5a347c128566e3fb523293fa;1;1;1;1;1;1;1;1;1;1;10;1;1
